,Standing screen display size,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours),Price,Brand,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Processor Count,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,Screen Resolution,Hardware Platform,Hard Drive Rotational Speed,Graphics Card Ram Size,Rear Webcam Resolution,Voltage,Package Dimensions,National Stock Number,Manufacturer,ASIN,Date First Available
1530,14 Inches,1920 x 1200 Pixels,4.7 GHz apple_ci7,LPDDR4,,SSD,,Intel,Integrated,,,1,,1499.99,LG,14Z90P-K.AAS6U1,14Z90P-K.AAS6U1,Windows 11 Home,2.2 pounds,12.34 x 8.47 x 0.66 inches,12.34 x 8.47 x 0.66 inches,Silver,Intel,4,DDR4 SDRAM,16,,No Optical Drive,,2 Lithium ion batteries required.,,PC,,,,,,,,,
1531,15.6 Inches,1920 x 1080,1.8 GHz core_i7,12 GB DDR4,1.8 GHz,512 GB ssd,Intel UHD Graphics,Intel,,802.11ac,,,,1179.99,Lenovo,81TD0005US,81TD0005US,Windows 10 Home,4.19 pounds,14.1 x 9.3 x 0.7 inches,14.1 x 9.3 x 0.7 inches,Mica,Intel,4,DDR4 SDRAM,512 GB,Solid State,,Corded Electric,1 Lithium Metal batteries required. (included),,PC,,,,,,,,,
1532,13.3 Inches,1920 x 1080 Pixels,4 GHz ryzen_5,8 GB LPDDR4,,512 GB SSD,AMD Radeon Graphics,AMD,Integrated,"Bluetooth, 802.11ac",,3,,813.44,ASUS,ASUS ZenBook 13,UM325UA-DS51,Windows 10 Home,0.088 ounces,11.97 x 7.99 x 0.55 inches,11.97 x 7.99 x 0.55 inches,Pine Grey,AMD,6,DDR4 SDRAM,512,ESATA,No Drive,,1 Lithium ion batteries required. (included),1920 x 1080 pixels,,,,,20 Volts,,,,,
1533,,1920 x 1080 Pixels,4.2 GHz,16 GB,,512 GB,Integrated,Intel,Integrated,,,,,869.0,Dell,Vostro 3400,Vostro 3400,Windows 10 Pro,7 pounds,4 x 17 x 21 inches,4 x 17 x 21 inches,,Intel,1,DDR SDRAM,,Unknown,,,,,PC,,,,,,,,,
1534,11.6 Inches,1366x768,1.1 GHz celeron,4 GB DDR4,2.16 GHz,32 GB eMMC,Intel HD Graphics 500,Intel,Integrated,"Bluetooth, 802.11b",,2,11 Hours,229.0,HP,Chromebook,11A,Chrome OS,3.37 pounds,13.3 x 8.9 x 0.7 inches,13.3 x 8.9 x 0.7 inches,Grey,Intel,2,DDR4 SDRAM,32,ESATA,No Optical Drive,Battery Powered,,1366x768,PC,,,,,,,,,
1535,15.6 Inches,1920 x 1080 Pixels,3.5 GHz ryzen_3_3250u,20 GB DDR4,3.5 GHz,4 GB SSD,AMD,AMD,,,,,10 Hours,549.0,Acer,A515-46-R14K,Acer Aspire 5,Windows 10 S,3.96 pounds,14.31 x 9.86 x 0.71 inches,14.31 x 9.86 x 0.71 inches,,AMD,4,DDR4 SDRAM,512 GB,Solid State,,Battery Powere,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1536,11.6 Inches,,1600 MHz intel_celeron_d,2 GB,,16 GB,,,,,,,11 Hours,191.15,Samsung Electronics,FBA_500C13-S01,FBA_500C13-S01,Chrome OS,3.5 pounds,11.4 x 8 x 0.7 inches,11.4 x 8 x 0.7 inches,Black,Intel,2,DDR3 SDRAM,16,Unknown,,,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1537,15.6 Inches,1366 x 768 Pixels,1.2 GHz apple_ci3,8 GB,2666 MHz,128 GB SSD,Intel® UHD Graphics,,,802.11a/b/g/n/ac,,,,439.0,HP,,HP 15-dy laptop,Windows 10 Home,3.74 pounds,14.71 x 9.53 x 0.71 inches,14.71 x 9.53 x 0.71 inches,,Intel,2,DDR4 SDRAM,128 GB,Solid State,No Optical Drive,,1 Lithium ion batteries required.,,PC,,,,,,,,,
1538,17.3 Inches,1920 x 1080 Pixels,4.5 GHz core_i7,32 GB DDR4,4.5 GHz,1 TB SSD,GeForce RTX 2080,NVIDIA,,Bluetooth,,,,1999.0,Lenovo,Legion,Legion,Windows 10,6.17 pounds,16.24 x 12 x 0.91 inches,16.24 x 12 x 0.91 inches,Iron Grey,Intel,6,DDR4 SDRAM,,PCIE x 4,,Corded Electric,,,PC,,,,,,,,,
1539,11.6 Inches,1366 x 768,1.8 GHz amd_a_series,4 GB DDR4,2.7 GHz,emmc,AMD Radeon R5,AMD,,Bluetooth,,,,352.99,Acer,Acer Chromebook,R721T-62ZQ,Chrome OS,4.57 pounds,,,Black,AMD,2,DDR4 SDRAM,32,USB-C,,Battery Powered,,1366 x 768,Chrome,,,,20 Volts,15.47 x 9.37 x 1.85 inches,,,,
1540,14 Inches,1920x1080 Pixels,1.6 GHz core_i5,8 GB DDR3,3.4 GHz,256 GB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,"Bluetooth, 802.11b/n/ac",1,1,,999.99,ASUS,Asus ZenBook 14,UX433FA-XH54,Windows 10 Pro,3.2 pounds,12.7 x 8.3 x 0.6 inches,12.7 x 8.3 x 0.6 inches,,Intel,4,DDR3 SDRAM,256,Solid State,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,10000 RPM,8 GB,,100240 Volts,,,,,
1541,14 Inches,1920 x 1080 Pixels,4.8 core_i7,16 GB LPDDR4,,16 GB SSD,NVIDIA GeForce GTX 1650,Intel,Integrated,Bluetooth,1,,,1399.0,MSI,PRESTIGE1411090,PRESTIGE1411090,Windows 10 Pro,6.09 pounds,19.06 x 12.24 x 3.07 inches,19.06 x 12.24 x 3.07 inches,Gray,Intel,1,,1,ESATA,No Optical Drive,,3 Lithium Polymer batteries required. (included),1920 x 1080,,,,,100240 Volts,,,,,
1542,14 Inches,1366 x 768,2.1 GHz core_i3,4 GB DDR4,4.1 GHz,SSD,,Intel,,Bluetooth,2,1,,629.99,Dell,PP60Y,3410,Windows 10 Pro,3.5 pounds,8.9 x 12.9 x 0.72 inches,8.9 x 12.9 x 0.72 inches,,Intel,1,DDR4 SDRAM,,USB 3.2,,Battery Powered,,1366 x 768,,,,,230 Volts,,,,,
1543,17.3 Inches,1920 x 1080 Pixels,2.7 GHz core_i7_family,64 GB DDR4,2.7 GHz,1 TB SSD,NVIDIA Quadro RTX 3000 6GB GDDR6,NVIDIA,Dedicated,,,,,3750.0,Dell,Precision 7750,Precision 7750,Windows 10 Pro,10.9 pounds,,,,Intel,6,DDR4 SDRAM,,ESATA,,,,,PC,,,,,22.75 x 16.12 x 6.45 inches,,,,
1544,15.6 Inches,1920 x 1080,1 GHz core_i5,12 GB DDR4,2666 MHz,512 GB SSD,Intel ICL-U UHD,Qualcomm,,802.11ac,1,,,699.9,Dell,Inspiron 15,3593-5544BLK,Windows 10,6.16 pounds,10.85 x 15.28 x 0.94 inches,10.85 x 15.28 x 0.94 inches,Black,Intel,4,DDR4 SDRAM,512 GB,Solid State,,,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
1545,14 Inches,1920 x 1080 Pixels,2.7 GHz apple_ci7,16 GB DDR4,,Flash Memory Solid State,NVIDIA GeForce MX250,Intel,Integrated,,,,,3291.78,Dell,RYHN2,5411,Windows 10 Pro,3.4 pounds,8.5 x 12.72 x 0.92 inches,8.5 x 12.72 x 0.92 inches,,Intel,1,DDR4 SDRAM,512,,No Optical Drive,,,,PC,,,,,,,,,
1546,15.6 Inches,1920 x 1080 Pixels,4.2 GHz core_i5_10210u,4 GB DDR4,3.6 GHz,128 GB SSD,AMD Radeon R7,Intel,"Integrated, Dedicated",802.11ac,2,1,6 Hours,799.96,ASUS,TP412FA-XB56T,TP412FA-XB56T,Windows 10 Pro,3.7 pounds,18.2 x 2.5 x 10.9 inches,18.2 x 2.5 x 10.9 inches,Gray,Intel,1,DDR4 SDRAM,512,Solid State,DVD,AC & Battery,3 Lithium ion batteries required. (included),1920 x 1080,PC,,,1.2 MP,,,,,,
1547,,1920 x 1080 Pixels,3 GHz,16 GB,,512 GB,Integrated,Intel,Integrated,,,,,1089.0,MSI,MSI Prestige 14,MSI Prestige 14,Windows 10,6 pounds,4 x 15 x 15 inches,4 x 15 x 15 inches,,Intel,1,DDR SDRAM,,Unknown,,,,,PC,,,,,,,,,
1548,13 Inches,1920 x 1080 MP,3.6 GHz core_i5,8 GB SDRAM,3.6 GHz,128 GB ssd,Intel HD Graphics 620,Intel,Integrated,Bluetooth,,,,869.99,Dell,Dell XPS 13 7390,Dell XPS 13 7390,Windows 10 Home,5.04 pounds,,,,Intel,4,DDR4 SDRAM,128 GB,Solid State,,,,,PC,,,,,15.83 x 11.54 x 3.23 inches,,,,
1549,16 Inches,2560 x 1600 Pixels,4.7 GHz apple_ci7,LPDDR4,,1 TB SSD,,Intel,Integrated,802.11ax,,1,,1749.99,LG,16Z90P-K.AAS9U1,16Z90P-K.AAS9U1,Windows 11 Home,2.62 pounds,14.01 x 9.58 x 0.66 inches,14.01 x 9.58 x 0.66 inches,Silver,Intel,4,DDR4 SDRAM,16,Solid State,No Optical Drive,,2 Lithium ion batteries required. (included),,PC,,,,,,,,,
1550,15.6 Inches,1920 x 1080 Pixels,5 GHz core_i7,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,NVIDIA,Dedicated,"Bluetooth, 802.11ax",,4,,1699.99,ASUS,ROG Strix G15,G512LWS-PH74,Windows 10 Home,5.07 pounds,14.17 x 10.83 x 1.02 inches,14.17 x 10.83 x 1.02 inches,Black,Intel,8,DDR4 SDRAM,512,Solid State,No Optical Drive,,1 Lithium ion batteries required. (included),1920 x 1080 pixels,PC,,8 GB,,19.5 Volts,,,,,
1551,14 Inches,1366 x 768 Pixels,2.1 GHz mediatek_mt8183,4 GB DDR3,,64 GB SSD,Integrated Mediatek Graphics,MediaTek,Integrated,802.11ac,,,,359.0,Lenovo,Chromebook S330,S330,Chrome OS,3.5 pounds,13.7 x 7.5 x 0.7 inches,13.7 x 7.5 x 0.7 inches,Black,Mediatek,4,DDR3 SDRAM,64 GB,Solid State,,AC & Battery,,1366x768,PC,,,,,,,,,
1552,11.5 Inches,,1.4 GHz Atom_N230,1 GB,1.3 GHz,32 GB,,,,Bluetooth,,,,200.0,RCA,,RCT6513W87DK C,Android 6.0 Marshmallow,2.2 pounds,9.5 x 7.54 x 1.16 inches,9.5 x 7.54 x 1.16 inches,Purple,Intel,4,DIMM,32 GB,Solid State,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,,,,,,,,,
1553,15.6 Inches,1920 x 1080,,16 GB DDR4,,flash_memory_solid_state,,Intel,,,,,,979.98,Acer,Acer Aspire,,,,,,,Intel,4,,,USB 3.1,,,,,,,,,,,,,,
1554,17.3 Inches,1920x1080,2.6 GHz core_i7,32 GB DDR4,4.5 GHz,1 TB SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,Bluetooth,,2,,1809.99,MSI,GE75,GF63,Windows 10,5.75 pounds,20 x 10.57 x 1.08 inches,20 x 10.57 x 1.08 inches,,Intel,6,DDR4 SDRAM,,PCIE x 4,No Optical Drive,Battery Powered,1 Lithium ion batteries required.,1920x1080,PC,5400 RPM,,,,,,,,
1555,14 Inches,1920 x 1080 Pixels,1.9 GHz amd_r_series,16 GB DDR4,1.8 GHz,512 GB SSD,,AMD,Integrated,802.11a/b/g/n/ac,,3,,1039.0,HP,38Y59UT#ABA,38Y59UT#ABA,Windows 10 Pro,4.69 pounds,12.67 x 8.42 x 0.8 inches,12.67 x 8.42 x 0.8 inches,Silver,AMD,1,DDR4 SDRAM,,USB 3.2,BD-R,,1 Lithium ion batteries required. (included),,,,,,,,,,,
1556,14 Inches,1920x1080 MP,1.8 GHz core_i7,32 GB,1.8 GHz,512 GB SSD,Intel Integrated Graphics,Intel,"Intel Integrated Graphics, Integrated",Bluetooth,,,,2095.0,Dell,Latitude 7420 Laptop,,Windows 10 Pro,8 pounds,,,Carbon Fiber,Intel,4,DDR4 SDRAM,512 GB,Solid State,,,,,PC,,1.00,,,18 x 14 x 4 inches,,,,
1557,14 Inches,1920 x 1080 Pixels,2.1 GHz amd_r_series,16 GB DDR4,3200 MHz,512 GB SSD,Integrated AMD Radeon Graphics,AMD,,,,,,699.0,Lenovo,Lenovo Ideapad,81YM00EAUS,,4.64 pounds,,,,AMD,4,DDR DRAM,512 GB,Solid State,,,,,PC,,,,,18.43 x 10.83 x 3.03 inches,,,,
1558,10.1 Inches,,1.44 KHz atom_z8350,2 GB DDR3L,,64 GB mechanical_hard_drive,Z8350,Intel,,Bluetooth,,,6 Hours,199.99,Smart-US,A101,,Windows 10,3.01 pounds,,,,Intel,4,DDR3 SDRAM,,ATA,,Battery Powered,,,PC,,,,,12.36 x 10.51 x 1.81 inches,,,,
1559,15.6 Inches,1920 x 1200 Pixels,2.3 GHz core_i7_family,16 GB,,512 GB SSD,NVIDIA T1200 4GB GDDR6,NVIDIA,,,,,,2795.0,Dell,Precision 5560,Precision 5560,Windows 10 Pro,7.66 pounds,,,,Intel,8,DDR4 SDRAM,512 GB,ESATA,,,,,PC,,,,,20.4 x 16.6 x 8.3 inches,,,,
1560,10.1 Inches,1280 x 800 Pixels,1.5 GHz,1 GB,,8 GB SSD,HD,,,Bluetooth,,,,149.99,Tablets & Computers,,WM8880,,2.69 pounds,,,Pink,VIA,4,SDRAM,,Unknown,,,,,Linux,,,,,12.4 x 10.47 x 2.05 inches,,,,
1561,14 Inches,1920 x 1080 Pixels,3.9 GHz apple_ci5,8 GB,,256 GB SSD,Intel UHD Graphics 620,,Integrated,,,,10 Hours,699.99,Avita,,CN6F14FC,Windows 10,2.91 pounds,,,Flaming Copper,Intel,1,DDR4 SDRAM,,Serial ATA-300,,Battery Powered,,,PC,,,,,18 x 11 x 4 inches,,,,
1562,14 Inches,1920 x 1080,1.6 GHz core_i5,16 GB,1.6 GHz,512 GB flash_memory_solid_state,,Intel,,Bluetooth,,,,1689.99,Lenovo,Lenovo Thinkpad,20S00037US,Windows 10 Pro,4.75 pounds,17.6 x 11.9 x 12 inches,17.6 x 11.9 x 12 inches,,Intel,1,,512 GB,USB-C,,Battery Powered,1 Lithium ion batteries required.,1920 x 1080,,,,,,,,,,
1563,13.3 Inches,,2.2 GHz amd_r_series,16 GB DDR4,3.8 GHz,512 GB ssd,AMD Radeon RX Vega 10,AMD,,Bluetooth,,,,819.0,Dell,Inspiron 13 7000,Dell Inspiron,Windows 10,3.84 pounds,12.7 x 8.8 x 0.7 inches,12.7 x 8.8 x 0.7 inches,Grey,AMD,4,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
1564,13.3 Inches,3200 x 1800 Pixels,2.4 GHz core_i7,8 GB DDR3L,,256 GB SSD,Intel HD Graphics 5500,,Dedicated,802.11ac,,2,15 Hours,1299.0,Dell,XPS 13,XPS9343-7273SLV,Windows 8,2.8 pounds,11.98 x 7.88 x 0.6 inches,11.98 x 7.88 x 0.6 inches,Silver,Intel,2,DDR3 SDRAM,256,Solid State,,,1 Lithium ion batteries required. (included),,PC,,,,,,,,,
1565,17.3 Inches,1920 x 1080 Pixels,4.5 GHz core_i7,32 GB DDR4,4.5 GHz,1 TB SSD,GeForce RTX 2080,NVIDIA,,Bluetooth,,,,1999.0,Lenovo,Legion,Legion,Windows 10,6.17 pounds,16.24 x 12 x 0.91 inches,16.24 x 12 x 0.91 inches,Iron Grey,Intel,6,DDR4 SDRAM,,PCIE x 4,,Corded Electric,,,PC,,,,,,,,,
1566,14 Inches,1366 x 768 Pixels,2.3 GHz athlon_silver_3050U,4 GB DDR4,,128 GB SSD,AMD Radeon Graphics,AMD,,Bluetooth,,,,399.0,HP,HP,HP,Windows 10 S,3.25 pounds,12.76 x 8.9 x 0.78 inches,12.76 x 8.9 x 0.78 inches,Jet Black,AMD,2,DDR4 SDRAM,128 GB,ATA,,Battery Powered,,,PC,,,,,,,,,
1567,15.6 Inches,1920 x 1080 Pixels,4.2 GHz apple_ci5,8 GB DDR4,2666 MHz,256 GB SSD,Intel Iris Xᵉ Graphics Integrated,Intel,Integrated,802.11a/b/g/n/ac,,,,599.0,HP,,HP15ddx,Windows 10,3.75 pounds,14.11 x 9.53 x 0.71 inches,14.11 x 9.53 x 0.71 inches,,Intel,4,DDR4 SDRAM,256 GB,Solid State,,AC & Battery,,1920x1080,PC,,,,,,,,,
1568,14 Inches,1920x1080 Pixels,1.6 GHz core_i5,8 GB,1 GHz,Flash Memory Solid State,Intel GMA 3150,Intel,Integrated,802.11ac,,4,,679.0,MSI,PS42 8M-064,PS42 8M-064US,Windows 10 Pro,5.27 pounds,14.53 x 10.59 x 1.57 inches,14.53 x 10.59 x 1.57 inches,Silver,Intel,1,DDR DRAM,256,ATA-4,,Battery Powered,4 Lithium Polymer batteries required. (included),,PC,1 RPM,1 GB,,,,,,,
1569,14 Inches,1366 x 768 Pixels,1.4 GHz apple_a4,4 GB SDRAM,1.6 GHz,32 GB SSD,AMD Radeon R4,AMD,"AMD Radeon R4 Graphics, Dedicated",802.11a/b/g/n/ac,1,2,,299.0,HP,14-db0031,14-CB14,Chrome OS,3.4 pounds,13.72 x 8.9 x 0.72 inches,13.72 x 8.9 x 0.72 inches,,AMD,2,DDR4 SDRAM,32 GB,Solid State,,AC & Battery,1 Lithium ion batteries required. (included),1366x768,PC,,,,,,,,,
1570,14 Inches,1920 x 1080 Pixels,3.9 GHz apple_ci5,8 GB,,256 GB SSD,Intel UHD Graphics 620,,Integrated,,,,10 Hours,699.99,Avita,,CN6F14FC,Windows 10,2.91 pounds,,,Flaming Copper,Intel,1,DDR4 SDRAM,,Serial ATA-300,,Battery Powered,,,PC,,,,,18 x 11 x 4 inches,,,,
1571,14 Inches,2560x1440 Pixels,3.3 GHz core_i7,8 GB DDR3,,256 GB flash_memory_solid_state,Intel HD Graphics 4400,Intel,Integrated,802.11bgn,,2,9 Hours,1699.0,Lenovo,ThinkPad X1 Carbon,20A7,Windows 8,2.8 pounds,8.94 x 13.03 x 0.73 inches,8.94 x 13.03 x 0.73 inches,Black,Intel,2,DDR3 SDRAM,256,Solid State,,Battery Powered,1 Lithium ion batteries required. (included),2560x1440,PC,1 RPM,,,,,,,,
1572,15.6 Inches,1920 x 1080 Pixels,2.4 GHz celeron,4 GB DDR4,,32 GB Flash Memory Solid State,Intel,Intel,Integrated,"Bluetooth, 5 GHz Radio Frequency, 802.11ac, 2.4 GHz Radio Frequency",,4,12 Hours,379.99,Acer,CB515-1HT-C2AE,CB515-1HT-C2AE,Chrome OS,4.4 pounds,14.88 x 10.08 x 0.75 inches,14.88 x 10.08 x 0.75 inches,Silver,Intel,2,DDR DRAM,32,ESATA,,Battery Powered,1 Lithium Polymer batteries required. (included),,PC,0.1,2 MB,,,,,,,
1573,14 Inches,1920 x 1080 Pixels,1.6 GHz core_i5,8 GB DDR4,,256 GB SSD,Intel UHD Graphics,Intel,,"802.11bgn, 802.11a, 802.11ac",,,23 Hours,1099.99,HP,EliteBook 840 G7,240K1US#ABA,Windows 10 Pro,2.9 pounds,12.7 x 8.5 x 0.7 inches,12.7 x 8.5 x 0.7 inches,Silver,Intel,1,DDR4 SDRAM,256 GB,PCIE x 16,,AC & Battery,1 Lithium ion batteries required. (included),1920x1080,PC,,,,,,,,,
1574,15.6 Inches,1920 x 1080 Pixels,3.7 GHz ryzen_5_3500u,8 GB DDR4,,SSD,AMD Radeon Vega 8,AMD,Integrated,Bluetooth,2,1,,708.21,ASUS,F512DA-XH51,F512DA-XH51,Windows 10 Pro,3.7 pounds,18 x 3 x 11 inches,18 x 3 x 11 inches,Gray,AMD,1,DDR4 SDRAM,256,USB 3.1,DVD,Battery Powered,2 Lithium ion batteries required. (included),,,,,,,,,,,
1575,11.6 Inches,1366 x 768 Pixels,2 GHz cortex,4 GB DDR4,,32 GB SSD,MediaTek Integrated Graphics,MediaTek,Integrated,"Bluetooth, 802.11a",,,15 Hours,309.99,HP,60,11HPMT1,Chrome OS,2.3 pounds,11.22 x 7.59 x 0.66 inches,11.22 x 7.59 x 0.66 inches,Blue,ARM,8,DDR4 SDRAM,32 GB,Fibre Channel,,Battery Powered,1 Lithium Metal batteries required. (included),,PC,,,,,,,,,
1576,,1920 x 1080 Pixels,2.4 GHz,8 GB,,256 GB,Integrated,Intel,Integrated,,,,,1059.0,Lenovo,ThinkPad E15 Gen 2,ThinkPad E15 Gen 2,Windows 10 Pro,6 pounds,3 x 15 x 15 inches,3 x 15 x 15 inches,,Intel,1,DDR SDRAM,,Unknown,,,,,PC,,,,,,,,,
1577,11.6 Inches,1366 x 768,1.6 GHz celeron_n3060,16 GB,1600 MHz,,,Intel,,"802.11b, 802.11g",,,,294.45,HP,HP Chromebook,X7T70UA,Chrome OS,2.65 pounds,11.26 x 8.07 x 0.72 inches,11.26 x 8.07 x 0.72 inches,,Intel,2,,,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,
1578,14 Inches,1920x1080 Pixels,2.1 GHz amd_r_series,12 GB DDR4,2400 MHz,512 GB SSD,Integrated AMD Radeon Vega 8 Graphics,AMD,,802.11ac,,,,639.0,Lenovo,IdeaPad 3,IdeaPad 3,Windows 10,3.5 pounds,13.8 x 9.1 x 0.75 inches,13.8 x 9.1 x 0.75 inches,Abyss Blue,AMD,4,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,,1920x1080,PC,,,,,,,,,
1579,14 Inches,1920 x 1080,8032,,1.8 GHz,flash_memory_solid_state,,Intel,,,,,,859.09,Lenovo,Lenovo Thinkpad,,Windows 10 Pro,3.73 pounds,9.1 x 12.8 x 0.74 inches,9.1 x 12.8 x 0.74 inches,,,1,Unknown,256 GB,Unknown,,,1 Lithium ion batteries required.,,,,,,,,,,,
1580,13.3 Inches,3840 x 2160,4.6 GHz core_i7,16 GB LPDDR3,2133 MHz,1 TB 1TB M.2 PCIe NVMe SSD,Integrated,Intel,Integrated,Bluetooth,1,2,,2117.7,Dell,XPS7390-7681SLV-PUS,XPS7390-7681SLV-PUS,Windows 10 Home,2.93 pounds,11.7 x 8.2 x 0.5 inches,11.7 x 8.2 x 0.5 inches,Silver,Intel,6,DDR4 SDRAM,16,Solid State,No Optical Drive,,1 Lithium ion batteries required. (included),,13TGEMCUT,5400.00,16 GB,,,,,,,
1581,,3840 x 2160 Pixels,4.9 GHz,16 GB,,256 GB,Integrated,Intel,Integrated,,,,,979.0,Dell,Inspiron 7300 2-in-1,Inspiron 7300 2-in-1,Windows 10 Home,6 pounds,4 x 15 x 15 inches,4 x 15 x 15 inches,,Intel,1,DDR SDRAM,,Unknown,,,,,PC,,,,,,,,,
1582,13.5 Inches,,2.4 GHz core_i5,16 GB DDR4,,256 GB SSD,,Intel,Integrated,802.11ax,,3,,1749.0,HP,47D83UT#ABA,47D83UT#ABA,Windows 10 Pro,4.23 pounds,12.67 x 8.42 x 0.8 inches,12.67 x 8.42 x 0.8 inches,Silver,Intel,1,DDR4 SDRAM,,USB 3.2,BD-R,,1 Lithium ion batteries required. (included),1920 x 1280,,,,,,,,,,
1583,14 Inches,1920 x 1080 Pixels,1.1 GHz core_m3_8100y,4 GB DDR4,3.4 GHz,64 GB ssd,Intel HD Graphics 615,Intel,Integrated,802.11ac,,,,429.0,ASUS,Asus,ASUS,Chrome OS,5 pounds,12.8 x 8.8 x 0.7 inches,12.8 x 8.8 x 0.7 inches,Blue Silver,Intel,2,DDR3 SDRAM,64 GB,Solid State,,AC & Battery,,1920x1080,PC,,,,,,,,,
1584,15.6 Inches,1366 x 768 Pixels,4.3 GHz ryzen_7,12 GB DDR4,,512 GB SSD,AMD Radeon Graphics,AMD,,Bluetooth,,,10 Hours,789.0,HP,,HP 15,Windows 10 Home,3.75 pounds,,,Silver,AMD,4,DDR SDRAM,,Solid State,,"Corded Electric, Battery Powered",1 Lithium ion batteries required. (included),,PC,,,,,19 x 12 x 3.56 inches,,,,
1585,17.3 Inches,3840 x 2160 Pixels,5.1 GHz core_i7,16 GB DDR4,2933 MHz,Flash Memory Solid State,NVIDIA GeForce RTX 2070 Max-Q,NVIDIA,Dedicated,802.11a/b/g/n/ac,10,4,,2729.99,Razer,Blade Pro,RZ09-03297E42-R3U1,Windows 10,10.12 pounds,15.55 x 10.23 x 0.78 inches,15.55 x 10.23 x 0.78 inches,,Intel,8,DDR4 SDRAM,16,USB,No Optical Drive,,1 Lithium ion batteries required. (included),,PC,,8 GB,,,,,,,
1586,15.6 Inches,,1.6 GHz core_i5,8 GB SO-DIMM DDR4,2400 MHz,1 TB HDD 5400 rpm,Intel UHD Graphics 620,Intel,Integrated,"Bluetooth, 802.11ac",1,,,858.01,Dell,Dell Inspiron 15T 5570 Notebook PC,Dell Inspiron 15 i5570 Laptop,Windows 10,4.8 pounds,10.16 x 14.9 x 0.89 inches,10.16 x 14.9 x 0.89 inches,,Intel,4,DDR4 SDRAM,1 TB,Serial ATA,,AC & Battery,1 Lithium ion batteries required.,1920x1080,PC,5400.00,,,,,,,,
1587,11.6 Inches,1366 x 768 Pixels,1.1 GHz intel_celeron_d,4 GB,2400 MHz,32 GB ssd,Integrated Intel UHD Graphics 600,Intel,Integrated,802.11ac,,,,270.0,Lenovo,Lenovo ChromeBook,81T,Chrome OS,3.93 pounds,17.78 x 11.38 x 3.5 inches,17.78 x 11.38 x 3.5 inches,Silver,Intel,2,DDR4 SDRAM,,Solid State,,AC & Battery,,1366x768,PC,,,,,,,,,
1588,15.6 Inches,1920 x 1080 Pixels,2.6 GHz core_i7,16 GB SDRAM,4.5 GHz,1512 GB Hybrid,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ac,,,5.5 Hours,1299.99,ASUS,ROG Strix G,ASUS,Windows 10,5.28 pounds,14.19 x 10.83 x 1.02 inches,14.19 x 10.83 x 1.02 inches,Black,Intel,6,DDR4 SDRAM,512 GB,Serial ATA,,AC & Battery,1 Lithium ion batteries required. (included),1920 x 1080,PC,,,1.2 MP,,,,,,
1589,11.6 Inches,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB DDR4,,64 GB SSD,Intel UHD Graphics 600,Intel,,Bluetooth,,,,289.0,HP,HP,HP,Windows 10 S,2.37 pounds,19 x 12 x 3 inches,19 x 12 x 3 inches,White,Intel,2,DDR4 SDRAM,64 GB,Solid State,,Battery Powered,,,PC,,,,,,,,,
1590,17.3 Inches,1920 x 1080,2.6 GHz apple_ci7,16 GB SO-DIMM,2666 MHz,512 GB Flash Memory Solid State,NVIDIA GeForce RTX 2060,NVIDIA,Dedicated,802.11ac,,4,,1399.99,MSI,GL75 9SEK-056,GL75 9SEK-056,Windows 10,8.38 pounds,15.63 x 10.67 x 1.1 inches,15.63 x 10.67 x 1.1 inches,,Intel,6,SODIMM,512,Solid State,No Optical Drive,,1 Lithium Metal batteries required. (included),,,1,,,,,,,,
1591,15.6 Inches,1920 x 1080 Pixels,2.6 GHz,4 GB DDR4,3.5 GHz,128 GB flash_memory_solid_state,Integrated,AMD,Integrated,,,,,479.0,Acer,Aspire 5,Aspire 5,Windows 10,3.97 pounds,4 x 15 x 15 inches,4 x 15 x 15 inches,,AMD,1,DDR SDRAM,,Unknown,,Battery Powered,,,PC,,,,,,,,,
